Song Name,Genre,Tempo,Beats,Chroma_stft,RSME,Spec_Cent,Spec_BW,Rolloff,ZCR,MFCC
The Less I Know The Better - Tame Impala Lyrics,alternative,117.45383522727273,56,0.36594167,0.21359923,1825.9652000430679,1900.9588547219823,3746.110681114551,0.08608564725232198,-0.26413205
Coldplay - Yellow,alternative,86.1328125,41,0.38427126,0.14785773,2218.5760703797882,2280.9950845859644,4429.7565472015285,0.1053096428744195,-2.3222613
Panic! At The Disco - High Hopes (Official Video),alternative,161.4990234375,51,0.4347404,0.18252663,2395.178569853509,2279.758300294189,4798.42098460478,0.13468588247387772,-0.46355346
Grouplove - Tongue Tied [OFFICIAL VIDEO],alternative,112.34714673913044,56,0.49576077,0.024246417,1733.1465720044882,1949.50489230729,3356.2297053381385,0.08885055872678019,-11.580782
Nirvana - Smells Like Teen Spirit (Official Music Video),alternative,117.45383522727273,56,0.4926589,0.16196986,2207.0340836750966,2138.3449218172045,4417.323289050406,0.1096274550116099,0.7464309
twenty one pilots - Ride (Official Video),alternative,151.99908088235293,31,0.35192406,0.10652625,2723.650574083641,2291.772289698951,5010.928032937065,0.1586626838235294,-5.2320585
Highly Suspect - These Days [Official Video],alternative,92.28515625,44,0.29918376,0.10700928,1460.4082437179272,1807.1235202339103,3008.3318090291214,0.06287263569078948,-8.01743
Vance Joy - _Riptide_ Official Video,alternative,129.19921875,64,0.28634244,0.049766812,2336.353058383902,2402.4684623513854,4892.29541695893,0.09599866365131579,-10.371185
Scritti Politti - Perfect Way (1985),alternative,103.359375,50,0.39989683,0.055753797,2902.2921125730595,2624.3659250860533,6027.66355154315,0.14806032918924147,-4.53737
Faith No More - Epic (Official Music Video),alternative,86.1328125,41,0.4749246,0.07267572,2812.3439400030115,2493.735809870563,5565.783011138255,0.14547228739357584,-3.503587
BANNERS - Someone To You,alternative,151.99908088235293,74,0.4351456,0.3143072,1976.4258021790424,2277.143092785034,4313.76558191636,0.07227582901993033,7.5543737
Peach Tree Rascals - Mariposa,alternative,112.34714673913044,54,0.3923547,0.19773981,1927.7767072952454,2157.221604080523,3915.0429929373063,0.08493448263351393,-0.21900858
Billie Eilish - when the party_s over,alternative,172.265625,78,0.30283615,0.06307489,1234.681512528401,1802.8281913276473,2062.545861400687,0.05355901098103715,-16.868063
Imagine Dragons - Natural,alternative,99.38401442307692,48,0.25547263,0.09529312,2042.910624023809,2182.761343011701,4308.832278414038,0.07706000266060371,-14.500907
Lewis Capaldi - Hold Me While You Wait (Lyrics),alternative,71.77734375,33,0.28761858,0.059205223,1465.723340973287,1789.8284454763393,3018.9067450839298,0.055230202689628485,-7.8098345
Coldplay - Adventure Of A Lifetime (Official Video),alternative,95.703125,46,0.3540216,0.0118833035,3575.3863112671133,2246.3904863815183,5975.763865373452,0.2976191376015867,-20.826563
New Order - Blue Monday,alternative,129.19921875,61,0.5446049,0.08477991,2305.7354650680913,2108.34600231126,4505.347756778493,0.11341579189241487,-6.087273
X Ambassadors - HOLD YOU DOWN (Official Video),alternative,123.046875,51,0.49075994,0.04177468,2156.603652345677,2246.448191054321,4430.806540852361,0.10084330555824303,-6.245242
Coldplay - Viva La Vida,alternative,135.99917763157896,68,0.3052194,0.04684017,1600.3246478765386,1875.7181569420832,3307.3300010279604,0.0695487102118808,-6.070322
Billie Eilish - bad guy,alternative,135.99917763157896,66,0.4311989,0.10601857,1278.0307805805442,1274.1444260445462,2212.378288717831,0.06748296306598298,-7.0519333
Melanie Martinez - Play Date (Official Audio),alternative,123.046875,61,0.31086913,0.14901894,2394.8402455233972,2198.9074393713267,4785.162731442289,0.12339078826431889,-8.855207
lovelytheband - broken (official video),alternative,123.046875,61,0.29432833,0.123262234,2094.945294680847,2031.7041367510983,3869.0599376572177,0.11134135243324303,-9.797741
Portugal. The Man - Feel It Still (Official Video),alternative,78.30255681818181,39,0.39769116,0.15824443,2429.3216403415718,2499.5500635096237,5137.977264687742,0.10464449194562693,-0.042105433
Dominic Fike - Chicken Tenders (Official Video),alternative,161.4990234375,72,0.31117514,0.030492157,595.0474462196613,979.6471085464863,837.0616050696594,0.026644207744775543,-14.189751
lil peep - star shopping (prod. kryptik),alternative,123.046875,60,0.3209444,0.10000142,1385.1877708417048,1816.9947768114328,2798.6914100292665,0.055470564047987614,-5.208062
The Smashing Pumpkins - Disarm (Official Video),alternative,129.19921875,63,0.3827725,0.020052435,989.6746076168743,1353.2081857111086,1943.4132484459656,0.04027299910506966,-11.085247
Weezer - Hero (Official Video),alternative,143.5546875,69,0.4119751,0.24130447,2635.367426259218,2358.416164285863,5206.851848212558,0.13587106049245357,4.5967345
SAINT MOTEL - My Type (Official Video),alternative,117.45383522727273,58,0.38158336,0.19458437,2670.9762192741114,2529.4741485319482,5528.574902797262,0.13611217770414086,-0.081619345
Daniel Powter - Bad Day (Official Music Video),alternative,86.1328125,39,0.23152858,0.068277255,1517.9565862740394,1488.4667797720301,2738.000110354586,0.08636417920375387,-11.499877
Halsey - Now Or Never,alternative,184.5703125,79,0.50889957,0.040220562,818.530682044967,1386.3139430738465,1410.6581366099072,0.02062194635255418,-4.392667
Coldplay - A Sky Full Of Stars (Official Video),alternative,83.35433467741936,37,0.39816597,0.13116749,1241.9427129865023,1634.7014982732076,2528.4430441841623,0.05399740591137771,0.947081
twenty one pilots - Level of Concern (Official Video),alternative,123.046875,58,0.40019122,0.0503172,1956.723234014649,1632.5651367952723,3591.711614744582,0.12579137843459753,-14.050909
Imagine Dragons - Believer (Kaskade RemixAudio),alternative,123.046875,58,0.31736445,0.16979653,2420.62268143612,2239.8093828611595,4791.7960246650055,0.1203753114115712,-7.917082
Foo Fighters - Everlong (Acoustic),alternative,143.5546875,71,0.29908675,0.1304192,1096.2748139100283,1575.4847449581137,2094.095670623307,0.040256370331849846,-6.446111
Biffy Clyro - Tiny Indoor Fireworks (Official Video),alternative,95.703125,49,0.47658673,0.20816271,2651.0109082539507,2529.7096511954132,5568.741326583059,0.12191158330108359,4.627658
Halsey - Bad At Love (Official Music Video),alternative,117.45383522727273,52,0.38865998,0.23523445,2178.086688374507,2476.969669293372,4717.354808134191,0.07198369170859133,3.0337331
jxdn - Angels _ Demons (Official Video),alternative,117.45383522727273,45,0.3773952,0.18572004,2214.6167431535214,2011.046497079338,4311.123931223394,0.12853512601586686,-4.684982
Billie Eilish - Bellyache,alternative,135.99917763157896,64,0.33494526,0.06852994,1631.7845317848562,2093.7861769802394,3394.629473139996,0.06696293597619969,-10.449284
twenty one pilots Stressed Out [OFFICIAL VIDEO],alternative,172.265625,70,0.40193495,0.21180052,1871.3628900783474,2057.6075879741243,3912.4596752249417,0.06654457115905572,1.540996
Billie Eilish - No Time To Die (Audio),alternative,71.77734375,19,0.26456034,0.033083454,523.8876810557617,830.8033973314072,862.6114505732392,0.03187131143575851,-9.235228
