Alternative,Blues,Classical,Country,HipHop/Rap,Latin,R&B,Rock
Lewis Capaldi Before You Go,Blues Image Ride Captain Ride (Single/LP Version),Altamirano Lago,Lil Nas X Old Town Road (feat. Billy Ray Cyrus) [Remix],DaBaby ROCKSTAR (feat. Roddy Ricch),Gerardo Ortíz Otra Borrachera,Doja Cat Say So,Bad Wolves Sober
Tones and I Dance Monkey,Derek & The Dominos Layla (40th Anniversary Version),Milana Zilnik The Best is Yet to Come,Maren Morris The Bones,Roddy Ricch The Box,ROSALÍA & Travis Scott TKN,The Weeknd Blinding Lights,Everybody Loves an Outlaw I See Red
Lewis Capaldi Someone You Loved,B.B. King The Thrill Is Gone,Vlad Tkachuk Fantasia in D Minor K. 397/385g,Morgan Wallen Chasin' You,Post Malone Circles,"Anuel AA, Daddy Yankee & KAROL G China (feat. J Balvin & Ozuna)",Doja Cat Like That (feat. Gucci Mane),Eagles Hotel California
Billie Eilish bad guy,Dorothy Moore Misty Blue,"Paul Lewis Bagatelle in A Minor, WoO 59 ʻFür Eliseʼ",Gabby Barrett I Hope,Powfu Death Bed (feat. beabadoobee),Banda Los Recoditos Elegiste un Error,Khalid Talk,Guns N' Roses Sweet Child O' Mine
Halsey You should be sad,Ronnie Earl & The Broadcasters Drown In My Own Tears,Brian Crain Sunrise,Sam Hunt Hard to Forget,StaySolidRocky Party Girl,"Bad Bunny, Jowell & Randy & Ñengo Flow Safaera",PARTYNEXTDOOR BELIEVE IT,Bon Jovi Livin' On a Prayer
Panic! At the Disco High Hopes,Etta James At Last,Hideyuki Hashimoto Es,Luke Bryan One Margarita,Post Malone & Swae Lee Sunflower (Spider-Man: Into the Spider-Verse),Banda Sinaloense MS de Sergio Lizárraga & Snoop Dogg Qué Maldición,Chris Brown No Guidance (feat. Drake),AC/DC Back In Black
Portugal. The Man Feel It Still,Walter Trout Do You Still See Me At All (feat. Jon Trout),Brian Crain Imagining,Morgan Wallen More than My Hometown,Roddy Ricch High Fashion (feat. Mustard),Los Dos Carnales El Envidioso,John Legend All of Me,Toto Africa
Halsey Without Me,Etta James I'd Rather Go Blind,Ed Sheeran & Andrea Bocelli Perfect Symphony,Morgan Wallen Whiskey Glasses,Lil Baby & 42 Dugg We Paid,The Black Eyed Peas & J Balvin RITMO (Bad Boys for Life),Usher Yeah! (feat. Lil Jon & Ludacris),Guns N' Roses Welcome to the Jungle
Imagine Dragons Thunder,Ronnie Earl & The Broadcasters For Abby,Gary Girouard The Thinker,Carly Pearce & Lee Brice I Hope You’re Happy Now,Jack Harlow Whats Poppin,"Justin Quiles, Daddy Yankee & El Alfa PAM",Surfaces Sunday Best,Queen Bohemian Rhapsody
Imagine Dragons Believer,House of Sun The House of the Rising Sun,Stephan Moccio Le Temps Qui Passe,テイラー・スウィフト I Knew You Were Trouble.,Drake Toosie Slide,Banda Carnaval Sueña,Chris Brown & Young Thug Go Crazy,Journey Don't Stop Believin'
